game_date,game_pk,batter,pitcher,player_name,stand,p_throws,pitch_type,pitch_name,release_speed,release_spin_rate,plate_x,plate_z,zone,sz_top,sz_bot,balls,strikes,inning,inning_topbot,outs_when_up,launch_speed,launch_angle,hit_distance_sc,home_team,away_team,des
2026-07-17,824901,663586,543309,"Higashioka, Kyle",R,R,FA,Other,59.4,1753,-0.7177542358644022,3.2733474675912677,1,3.273540026,1.652066929,1,1,8,Bot,0,106.9,29,390,ATL,TEX,Austin Riley homers (10) on a fly ball to left field.
2026-07-17,824901,621566,615698,"Quantrill, Cal",L,R,FF,4-Seam Fastball,93.0,2079,0.7156092449284075,1.968120630078853,9,3.37183399,1.701673228,3,1,4,Bot,1,110.7,27,420,ATL,TEX,Matt Olson homers (26) on a fly ball to right field.
2026-07-17,824901,686948,615698,"Quantrill, Cal",L,R,FS,Split-Finger,82.7,885,-0.1443804197966383,1.9502696072121732,8,3.205962927,1.617962598,0,1,4,Bot,0,105.5,23,419,ATL,TEX,Drake Baldwin homers (16) on a fly ball to center field. Jim Jarvis scores. Brewer Hicklen scores.
2026-07-17,824766,665966,688297,"Roycroft, Chris",R,R,ST,Sweeper,82.8,2336,-0.6246509659977784,2.3922848160174666,4,3.180511811,1.60511811,0,1,7,Bot,2,106.9,36,412,BOS,TB,Carlos Narváez homers (3) on a fly ball to left field.
2026-07-17,824766,807799,643377,"Jax, Griffin",L,R,SI,Sinker,94.5,2537,-0.2542375374861372,3.03608957821101,2,3.021661745,1.524950787,0,0,4,Bot,0,87.0,33,328,BOS,TB,Masataka Yoshida homers (4) on a fly ball to right field.
2026-07-17,824737,677800,669438,"Englert, Mason",L,R,FF,4-Seam Fastball,93.3,2356,0.1593074244280361,2.2774712458953816,5,3.117322835,1.573228347,0,1,3,Bot,0,103.5,33,405,BOS,TB,Wilyer Abreu homers (13) on a fly ball to right center field.
2026-07-17,824737,691406,700842,"Rivera, Eduardo",R,L,CH,Changeup,87.3,1325,0.2600780698133886,3.220164316838807,2,3.243700787,1.637007874,2,1,3,Top,1,111.6,26,423,BOS,TB,Junior Caminero homers (29) on a fly ball to left field.
2026-07-17,824737,575929,669438,"Englert, Mason",R,R,FF,4-Seam Fastball,94.1,2422,0.5263269312655168,2.9161261308154645,3,3.229658793,1.62992126,1,2,1,Bot,1,107.6,42,367,BOS,TB,Willson Contreras homers (21) on a fly ball to left center field.
2026-07-17,824737,677800,669438,"Englert, Mason",L,R,CH,Changeup,86.5,2098,0.0921363593073678,1.7089683485732357,8,3.117322835,1.573228347,1,1,1,Bot,1,106.6,27,422,BOS,TB,Wilyer Abreu homers (12) on a fly ball to right center field. Ceddanne Rafaela scores.
2026-07-17,824655,680777,607067,"Rea, Colin",R,R,ST,Sweeper,82.8,2303,0.4800861599181841,2.0131596551498747,9,3.284949147,1.657824803,1,0,3,Top,0,93.8,32,369,CHC,MIN,Ryan Jeffers homers (8) on a fly ball to left center field. Tristan Gray scores. Trevor Larnach scores.
2026-07-17,824332,682829,676105,"Criswell, Jeff",L,R,SL,Slider,84.1,2546,0.0090235416812797,2.0118290336542075,8,3.460474081,1.74640748,1,0,9,Top,1,105.8,24,434,COL,CIN,Elly De La Cruz homers (16) on a fly ball to center field.
2026-07-17,824332,668715,676105,"Criswell, Jeff",R,R,FF,4-Seam Fastball,94.1,2380,0.2890297417861095,2.2398597833615863,6,3.096259843,1.562598425,0,0,8,Top,0,102.4,26,421,COL,CIN,Spencer Steer hits an inside-the-park home run (16) on a fly ball to right-center field.
2026-07-17,824332,650489,663903,"Singer, Brady",L,R,SL,Slider,83.1,2417,-0.5766772900958926,2.047644800978725,7,3.203330053,1.616633858,2,0,7,Bot,1,99.2,35,382,COL,CIN,Willi Castro homers (8) on a fly ball to left field.
2026-07-17,824332,553993,623474,"Herget, Jimmy",R,R,ST,Sweeper,80.3,2925,0.9557700631908778,1.393533660548039,14,3.17085794,1.600246063,0,2,6,Top,1,98.6,33,415,COL,CIN,Eugenio Suárez homers (12) on a fly ball to left field.
2026-07-17,824332,668715,623474,"Herget, Jimmy",R,R,SI,Sinker,90.6,2377,-0.2823651726255909,2.540134361761744,4,3.096259843,1.562598425,1,0,6,Top,1,103.5,25,404,COL,CIN,Spencer Steer homers (15) on a fly ball to left field. JJ Bleday scores.
2026-07-17,824170,621493,687911,"King, Bryan",R,L,ST,Sweeper,82.2,2257,-0.2379910807310644,2.1445711841212187,5,3.190165682,1.609990158,0,0,8,Top,0,102.6,25,399,HOU,BAL,Taylor Ward homers (7) on a fly ball to left center field. Adley Rutschman scores.
2026-07-17,824090,664034,656638,"Lange, Alex",R,R,SI,Sinker,96.8,2170,0.1716211748369243,2.1821769477798734,5,3.10328084,1.566141732,0,1,9,Top,2,105.2,23,421,KC,SD,Ty France homers (12) on a fly ball to left center field.
2026-07-17,824090,657041,650633,"King, Michael",R,R,SI,Sinker,94.7,2284,0.0893431506275075,2.586398821639696,5,3.146284449,1.587844488,0,0,2,Bot,0,108.2,31,445,KC,SD,Lane Thomas homers (8) on a fly ball to left center field.
2026-07-17,823766,687401,645261,"Alcantara, Sandy",R,R,CH,Changeup,90.1,1991,-0.0588049106713537,2.098927941503307,5,3.136630577,1.582972441,1,1,5,Bot,1,96.7,27,379,MIL,MIA,Joey Ortiz homers (4) on a fly ball to left field.
2026-07-17,823766,665052,701656,"Henderson, Logan",L,R,CH,Changeup,80.4,2420,-0.3209109979551559,2.110952524913164,7,3.234046916,1.632135827,3,2,5,Top,1,102.0,24,398,MIL,MIA,Griffin Conine homers (6) on a fly ball to right center field.
2026-07-17,823524,571970,543037,"Cole, Gerrit",L,R,SL,Slider,90.5,2492,-0.2804048759049368,2.360874561885409,4,3.127854331,1.578543307,2,2,7,Top,0,107.9,31,416,NYY,LAD,Max Muncy homers (18) on a fly ball to right field. Mookie Betts scores.
2026-07-17,823115,642715,689546,"Davila, Nick",R,R,SL,Slider,86.5,1864,0.136891898596486,2.427838586508236,5,3.22351542,1.626820866,0,1,7,Top,1,105.5,24,393,SEA,SF,Willy Adames hits a grand slam (16) to center field. Casey Schmitt scores. Heliot Ramos scores. Jung Hoo Lee scores.
2026-07-17,823115,805811,682243,"Miller, Bryce",L,R,FS,Split-Finger,81.6,965,-0.5816776571406452,2.527367419042671,4,3.541215551,1.787155512,0,1,5,Top,2,99.8,30,402,SEA,SF,Bryce Eldridge homers (9) on a fly ball to center field. Drew Cavanaugh scores.
2026-07-17,822789,678218,670950,"Richards, Trevor",L,R,FF,4-Seam Fastball,90.7,2294,0.3952824765944845,1.6557159919424538,9,3.219127297,1.624606299,1,0,6,Bot,0,103.8,22,375,TOR,CWS,Brandon Valenzuela homers (8) on a fly ball to right field.
2026-07-17,822789,543807,670950,"Richards, Trevor",R,R,FF,4-Seam Fastball,91.4,2241,-0.3742662767275607,3.1351388458265257,1,3.267396654,1.648966535,3,1,5,Bot,2,96.3,30,363,TOR,CWS,George Springer homers (10) on a fly ball to left field.
2026-07-17,822789,649966,641743,"Kay, Anthony",R,L,SI,Sinker,94.3,2216,-0.0633075564977627,2.418194140331954,5,3.090994095,1.559940945,0,0,4,Bot,1,108.3,18,373,TOR,CWS,Luis Urías homers (2) on a line drive to left field.
2026-07-17,822789,803011,693686,"Miles, Spencer",L,R,FF,4-Seam Fastball,94.8,2100,0.1229345843112975,2.938377180809529,2,3.154183071,1.591830709,3,1,2,Top,2,102.4,43,365,TOR,CWS,Sam Antonacci homers (7) on a fly ball to right field. Chase Meidroth scores.
2026-07-18,825059,699625,623149,"Sewald, Paul",L,R,FF,4-Seam Fastball,91.2,2589,0.4112051712170651,2.1298526262042983,6,3.200697179,1.615305118,1,0,9,Top,1,108.8,29,443,AZ,STL,Jimmy Crooks homers (3) on a fly ball to right center field.
2026-07-18,824979,666126,668820,"Kranick, Max",L,R,FF,4-Seam Fastball,93.7,2216,-0.3208703008999153,2.846669319306335,1,2.990067257,1.509005906,2,1,7,Bot,0,98.0,33,394,ATH,WSH,Carlos Cortes homers (7) on a fly ball to left center field.
2026-07-18,824979,691016,641793,"Littell, Zack",L,R,FF,4-Seam Fastball,91.3,2063,0.3452031431746621,3.3683026519486887,3,3.285826772,1.658267717,2,2,6,Bot,2,100.1,27,406,ATH,WSH,Tyler Soderstrom homers (16) on a fly ball to right center field. Jeff McNeil scores.
2026-07-18,824979,805779,641793,"Littell, Zack",R,R,FF,4-Seam Fastball,90.7,1863,-0.1607925700218606,2.084272660622584,8,3.29109252,1.660925197,0,0,1,Bot,0,103.0,36,411,ATH,WSH,Jacob Wilson homers (5) on a fly ball to left field.
2026-07-18,824899,694497,641755,"Kinley, Tyler",L,R,SL,Slider,86.2,2655,0.3334755226173393,1.988331680997024,9,3.315666011,1.673326772,3,2,6,Top,0,101.1,40,356,ATL,TEX,Evan Carter homers (8) on a fly ball to right field. Ezequiel Duran scores.
2026-07-18,824899,671739,669022,"Gore, MacKenzie",L,L,SL,Slider,83.9,2018,0.3675285548269663,3.184136523696293,3,3.181389436,1.605561024,1,0,3,Bot,0,104.5,37,405,ATL,TEX,Michael Harris II homers (17) on a fly ball to right field.
2026-07-18,824899,642201,669022,"Gore, MacKenzie",R,L,FC,Cutter,88.0,1893,-0.4693028363047974,3.0674107839119387,1,3.315666011,1.673326772,1,1,2,Bot,0,104.1,39,406,ATL,TEX,Eli White homers (5) on a fly ball to left field. Mauricio Dubón scores.
2026-07-18,824899,592626,702566,"Murphy, Owen",L,R,FF,4-Seam Fastball,93.7,2485,0.1533304442331576,2.3006998065361755,5,3.23667979,1.633464567,1,2,1,Top,0,104.3,34,419,ATL,TEX,Joc Pederson homers (16) on a fly ball to right field.
2026-07-18,824738,677800,664076,"Cleavinger, Garrett",L,L,FF,4-Seam Fastball,96.5,2463,0.4394075846480847,2.469276388085016,6,3.117322835,1.573228347,3,2,7,Bot,2,103.7,28,412,BOS,TB,Wilyer Abreu homers (15) on a fly ball to right center field. Ceddanne Rafaela scores.
2026-07-18,824738,676356,670245,"Watson, Ryan",R,R,FC,Cutter,89.5,1859,-0.0249702424566047,2.906840243643152,2,3.133120079,1.581200787,0,0,7,Top,2,102.7,22,394,BOS,TB,Jonny DeLuca homers (6) on a line drive to left center field.
2026-07-18,824738,683748,663776,"Sandoval, Patrick",L,L,SL,Slider,88.9,2540,0.1049099220474057,2.4877418323236595,5,3.15769357,1.593602362,2,1,4,Top,1,107.7,23,404,BOS,TB,Victor Mesa Jr. homers (6) on a fly ball to right field.
2026-07-18,824738,677800,693855,"Seymour, Ian",L,L,FF,4-Seam Fastball,91.3,2209,-0.2441315599483973,2.6126019358849515,5,3.117322835,1.573228347,2,1,3,Bot,2,108.5,25,435,BOS,TB,Wilyer Abreu homers (14) on a fly ball to center field.
2026-07-18,824738,663330,693855,"Seymour, Ian",R,L,ST,Sweeper,81.2,2229,-0.1872157023695152,2.222397243135503,5,3.138385827,1.583858268,2,2,2,Bot,2,105.0,32,407,BOS,TB,Jahmai Jones homers (3) on a fly ball to left field. Andruw Monasterio scores.
2026-07-18,824657,665019,573204,"Thielbar, Caleb",L,L,ST,Sweeper,79.7,2459,-0.006974642793379,2.199461864809769,5,3.211228675,1.620620079,1,1,7,Top,2,102.7,37,391,CHC,MIN,Kody Clemens homers (18) on a fly ball to right center field.
2026-07-18,824657,665019,571510,"Boyd, Matthew",L,L,FF,4-Seam Fastball,92.7,2428,-0.1115769242508358,2.563927320024568,5,3.211228675,1.620620079,2,2,2,Top,2,106.0,23,371,CHC,MIN,Kody Clemens homers (17) on a fly ball to right center field.
2026-07-18,824657,683737,671737,"Bradley, Taj",L,R,FF,4-Seam Fastball,96.2,2240,0.7721100739548047,2.348587131481489,6,3.166469816,1.598031496,0,1,1,Bot,2,101.6,28,402,CHC,MIN,Michael Busch homers (12) on a fly ball to right field.
2026-07-18,824414,693304,668909,"Williams, Gavin",R,R,CU,Curveball,81.2,2450,0.2689583230364731,2.139982447279149,5,3.05062336,1.539566929,0,0,6,Top,2,100.2,29,387,CLE,PIT,Nick Gonzales homers (5) on a fly ball to right center field.
2026-07-18,824414,699013,668909,"Williams, Gavin",R,R,SI,Sinker,97.9,1722,-0.4192304680641712,1.7317569244419713,7,3.311277887,1.671112205,0,2,6,Top,1,101.6,37,373,CLE,PIT,Esmerlyn Valdez homers (11) on a fly ball to right center field. Bryan Reynolds scores.
2026-07-18,824414,694378,668909,"Williams, Gavin",L,R,ST,Sweeper,87.8,2224,0.2667605095613083,2.167451217889469,5,3.285826772,1.658267717,0,1,2,Top,2,106.7,32,428,CLE,PIT,Jacob Gonzalez homers (3) on a fly ball to right field. Tyler Callihan scores.
2026-07-18,824412,683953,642701,"Santana, Dennis",L,R,CH,Changeup,88.8,2378,0.2245764098571132,1.8397989651656448,8,3.178756562,1.604232283,1,0,9,Bot,1,102.2,29,414,CLE,PIT,Travis Bazzana homers (8) on a fly ball to center field. Steven Kwan scores.
2026-07-18,824331,681198,657571,"Ferguson, Caleb",L,L,FC,Cutter,87.8,2468,0.2691965881236615,2.4126222775375217,5,3.422736221,1.727362205,0,1,6,Bot,2,105.1,34,456,COL,CIN,TJ Rumfield homers (13) on a fly ball to right center field. Cole Carrigg scores.
2026-07-18,824331,624431,608372,"Sugano, Tomoyuki",R,R,ST,Sweeper,83.4,2692,-0.2900890396184276,3.308883027235911,11,3.061154856,1.54488189,0,1,5,Top,2,101.0,28,424,COL,CIN,Jose Trevino homers (3) on a fly ball to left center field.
2026-07-18,824331,624431,608372,"Sugano, Tomoyuki",R,R,FF,4-Seam Fastball,92.8,2392,-0.0105612768941317,2.786402368010486,2,3.061154856,1.54488189,0,0,3,Top,1,93.7,33,395,COL,CIN,Jose Trevino homers (2) on a fly ball to left center field.
2026-07-18,824088,521692,663362,"Waldron, Matt",R,R,FF,4-Seam Fastball,92.1,2123,0.2128549438589815,3.057578854185981,2,3.312155512,1.671555118,2,2,6,Bot,1,105.0,28,438,KC,SD,Salvador Perez homers (12) on a fly ball to center field. Vinnie Pasquantino scores.
2026-07-18,824088,665487,677976,"Dobnak, Randy",R,R,ST,Sweeper,82.0,2573,-0.8479733036649331,2.245199393426605,13,3.346382874,1.68882874,1,2,3,Top,0,106.2,23,411,KC,SD,Fernando Tatis Jr. homers (6) on a fly ball to left center field.
2026-07-18,824088,657041,656288,"Canning, Griffin",R,R,KC,Knuckle Curve,82.1,2485,0.2059457484560599,2.0692154899644963,5,3.146284449,1.587844488,0,1,1,Bot,2,103.8,33,421,KC,SD,Lane Thomas homers (9) on a fly ball to left center field. Carter Jensen scores.
2026-07-18,824008,679529,608718,"Suter, Brent",R,L,FF,4-Seam Fastball,87.6,2229,0.2199375298158635,2.6958442579582336,5,3.232291667,1.63125,1,1,5,Top,0,107.5,28,420,LAA,DET,Spencer Torkelson homers (18) on a fly ball to center field.
2026-07-18,824008,679529,680570,"Rodriguez, Grayson",R,R,FF,4-Seam Fastball,94.6,2130,0.2131721102411026,2.4979029724403263,5,3.232291667,1.63125,0,0,1,Top,1,104.2,34,415,LAA,DET,Spencer Torkelson homers (17) on a fly ball to left center field. Dillon Dingler scores. Colt Keith scores.
2026-07-18,823763,665052,684974,"Yoho, Craig",L,R,SI,Sinker,93.6,2352,-0.0520292697419073,1.975568041163352,8,3.234046916,1.632135827,1,1,9,Top,0,104.9,32,404,MIL,MIA,Griffin Conine homers (7) on a fly ball to left center field. Liam Hicks scores. Leo Jiménez scores.
2026-07-18,823441,607208,640455,"Manaea, Sean",R,L,SI,Sinker,91.0,2085,0.2361635828255226,2.138678609180591,5,3.244578412,1.637450787,2,1,5,Bot,0,106.1,22,414,PHI,NYM,Trea Turner homers (12) on a fly ball to left center field.
2026-07-18,823441,621438,666200,"Luzardo, Jesús",R,L,CH,Changeup,85.4,1623,0.4234054824471994,2.5333355525033263,6,3.231414042,1.630807087,2,1,2,Top,1,104.7,38,406,PHI,NYM,Tyrone Taylor homers (7) on a fly ball to left center field.
2026-07-18,823441,656941,640455,"Manaea, Sean",L,L,FC,Cutter,85.0,2188,-0.0985039261486162,2.547225996150208,5,3.180511811,1.60511811,2,0,1,Bot,0,106.0,41,399,PHI,NYM,Kyle Schwarber homers (33) on a fly ball to right field. Trea Turner scores.
2026-07-18,823116,702284,657277,"Webb, Logan",L,R,ST,Sweeper,85.3,2522,0.6030457364215289,1.4323209565167296,14,3.133120079,1.581200787,0,1,7,Bot,2,104.1,27,405,SEA,SF,Cole Young homers (12) on a fly ball to right center field. Randy Arozarena scores. Josh Naylor scores.
2026-07-18,823116,642715,693433,"Woo, Bryan",R,R,SI,Sinker,96.0,2304,0.1778516052365168,2.2468632365050327,5,3.22351542,1.626820866,2,1,6,Top,2,100.7,26,358,SEA,SF,Willy Adames homers (17) on a fly ball to right field.
2026-07-18,823116,646240,693433,"Woo, Bryan",L,R,FF,4-Seam Fastball,96.8,2226,-0.7662497182252167,3.253978116051996,1,3.217372047,1.623720472,2,2,6,Top,0,98.6,44,339,SEA,SF,Rafael Devers homers (20) on a fly ball to left field.
2026-07-19,825057,571448,700669,"Graceffo, Gordon",R,R,SL,Slider,88.5,2312,-0.2247904363379644,2.4628789554978257,5,3.277050525,1.653838583,1,1,8,Bot,2,102.4,25,384,AZ,STL,Nolan Arenado homers (13) on a fly ball to left center field. Tyler Locklear scores.
2026-07-19,825057,672695,666277,"Soriano, George",L,R,CH,Changeup,90.5,1368,-0.9867166923998258,1.6910313538074129,13,3.31742126,1.674212598,2,2,7,Bot,2,87.9,17,242,AZ,STL,Geraldo Perdomo hits an inside-the-park home run (7) on a line drive to left field. Adrian Del Castillo scores.
2026-07-19,824978,686611,665660,"Alvarado, Elvis",R,R,SL,Slider,86.8,2009,0.0460294142557771,1.9493872945591144,8,3.165592192,1.597588583,1,0,5,Top,2,106.9,22,362,ATH,WSH,Dylan Crews homers (7) on a fly ball to left field.
2026-07-19,824978,682928,665660,"Alvarado, Elvis",L,R,FF,4-Seam Fastball,98.5,2517,-0.5276267247509208,2.471827802818432,4,3.222637795,1.626377953,1,0,5,Top,2,105.0,26,422,ATH,WSH,CJ Abrams homers (21) on a fly ball to center field. Curtis Mead scores.
2026-07-19,824897,694671,628452,"Iglesias, Raisel",R,R,CH,Changeup,87.3,1963,0.4057208667390297,2.4333327942468856,6,3.196309055,1.613090551,0,1,9,Top,0,105.2,26,422,ATL,TEX,Wyatt Langford homers (10) on a fly ball to left field.
2026-07-19,824897,686948,687239,"Peoples, Ben",L,R,FF,4-Seam Fastball,94.7,2284,0.0697748696775165,2.908877387207811,2,3.205962927,1.617962598,3,1,8,Bot,0,107.9,34,392,ATL,TEX,Drake Baldwin homers (18) on a fly ball to center field.
2026-07-19,824897,663586,543135,"Eovaldi, Nathan",R,R,FF,4-Seam Fastball,95.1,2188,0.1667018627434788,2.3645212677776466,5,3.273540026,1.652066929,3,1,4,Bot,1,109.4,20,413,ATL,TEX,Austin Riley homers (12) on a line drive to center field.
2026-07-19,824897,686948,543135,"Eovaldi, Nathan",L,R,CU,Curveball,73.1,1687,-0.0907963615106312,1.7648142994354847,8,3.205962927,1.617962598,2,2,3,Bot,0,98.2,30,395,ATL,TEX,Drake Baldwin homers (17) on a fly ball to right center field.
2026-07-19,824897,663586,543135,"Eovaldi, Nathan",R,R,CU,Curveball,74.7,1663,-0.1254773463969067,2.8979415758258256,2,3.273540026,1.652066929,0,2,2,Bot,1,103.2,34,416,ATL,TEX,Austin Riley homers (11) on a fly ball to left field.
2026-07-19,824739,575929,663556,"McClanahan, Shane",R,L,CH,Changeup,85.2,1433,0.2954760571383305,1.806874908642448,9,3.229658793,1.62992126,0,0,5,Bot,1,106.8,29,414,BOS,TB,Willson Contreras homers (22) on a fly ball to right center field. Ceddanne Rafaela scores.
2026-07-19,824739,683748,543243,"Gray, Sonny",L,R,FC,Cutter,87.7,2473,-0.2166849818229257,2.4660928810309315,5,3.15769357,1.593602362,1,0,2,Top,0,108.8,15,317,BOS,TB,Victor Mesa Jr. hits an inside-the-park home run (7) on a line drive to right-center field.
2026-07-19,824653,608324,805673,"Matthews, Zebby",R,R,SL,Slider,87.7,2417,0.1778605932820406,2.891023426942365,2,3.126099081,1.57765748,2,2,1,Bot,2,101.4,31,383,CHC,MIN,Alex Bregman homers (10) on a fly ball to left field. Seiya Suzuki scores.
2026-07-19,824411,699013,702021,"Dion, Will",R,L,FF,4-Seam Fastball,89.7,2291,-0.706705148600016,2.8250693646025637,1,3.311277887,1.671112205,3,2,9,Top,1,102.2,41,371,CLE,PIT,Esmerlyn Valdez homers (12) on a fly ball to left field. Jared Triolo scores.
2026-07-19,824330,650489,641941,"Pagán, Emilio",L,R,FF,4-Seam Fastball,95.4,2543,0.4087799521382643,2.851403031080657,3,3.203330053,1.616633858,1,2,9,Bot,0,105.1,35,435,COL,CIN,Willi Castro homers (9) on a fly ball to right field.
2026-07-19,824330,696100,594580,"Moll, Sam",R,L,SI,Sinker,91.8,2549,-0.1581348743048514,1.2401889573857812,13,3.178756562,1.604232283,3,2,8,Bot,2,105.1,29,442,COL,CIN,Hunter Goodman homers (30) on a fly ball to center field. Mickey Moniak scores.
2026-07-19,824330,696100,668881,"Greene, Hunter",R,R,FF,4-Seam Fastball,98.6,2308,0.3415679593674113,2.3636235215856702,6,3.178756562,1.604232283,2,2,6,Bot,1,108.1,36,435,COL,CIN,Hunter Goodman homers (29) on a fly ball to left center field. Jake McCarthy scores.
2026-07-19,824330,663886,685299,"Gordon, Tanner",R,R,SL,Slider,87.7,1916,-0.483962332982032,2.7878132235665456,4,3.359547244,1.695472441,1,1,5,Top,1,101.6,31,418,COL,CIN,Tyler Stephenson homers (8) on a fly ball to left center field.
2026-07-19,824330,701398,663372,"Feltner, Ryan",R,R,SL,Slider,88.7,2408,0.0311652484812873,2.7646876674219287,2,3.239312664,1.634793307,0,0,2,Top,0,105.3,32,456,COL,CIN,Sal Stewart homers (20) on a fly ball to center field. Dane Myers scores. Elly De La Cruz scores.
2026-07-19,824330,696100,668881,"Greene, Hunter",R,R,SL,Slider,90.3,2383,0.5858127403580146,2.06015303098451,9,3.178756562,1.604232283,2,2,1,Bot,2,104.5,27,425,COL,CIN,Hunter Goodman homers (28) on a fly ball to center field.
2026-07-19,824330,663886,663372,"Feltner, Ryan",R,R,SL,Slider,87.9,2510,-0.0911819640198581,3.150331804753484,2,3.359547244,1.695472441,0,1,1,Top,2,105.1,35,435,COL,CIN,Tyler Stephenson homers (7) on a fly ball to left center field. Eugenio Suárez scores.
2026-07-19,824330,663993,663372,"Feltner, Ryan",L,R,SL,Slider,88.5,2592,0.0769462216037336,2.548747818560355,5,3.366568242,1.699015748,1,0,1,Top,2,106.9,35,420,COL,CIN,Nathaniel Lowe homers (11) on a fly ball to right field. Elly De La Cruz scores. JJ Bleday scores.
2026-07-19,824168,514888,670329,"Garcia, Rico",R,R,FF,4-Seam Fastball,96.0,2512,-0.8379457747796009,2.581021097492164,11,2.926000656,1.476673228,1,1,8,Bot,0,91.8,28,353,HOU,BAL,Jose Altuve homers (12) on a fly ball to left field.
2026-07-19,824168,691723,687911,"King, Bryan",R,L,FF,4-Seam Fastball,91.5,2053,0.4447270104778046,2.4759839244423194,6,3.413959974,1.722933071,2,0,6,Top,0,104.0,32,384,HOU,BAL,Coby Mayo homers (13) on a fly ball to right center field.
2026-07-19,824086,664034,686475,"Tolbert, Tyler",R,R,FA,Other,45.3,1078,-0.0171212730973412,2.336704371374225,5,3.10328084,1.566141732,2,1,9,Top,2,103.0,26,416,KC,SD,Ty France homers (14) on a fly ball to left center field.
2026-07-19,824086,701538,686475,"Tolbert, Tyler",L,R,FA,Other,47.3,1108,0.0213349234296288,3.643024666751092,12,3.320054134,1.675541339,2,1,9,Top,1,104.8,30,419,KC,SD,Jackson Merrill homers (12) on a fly ball to right field. Sung-Mun Song scores.
